Model,MSO68B
Channel,CH4
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,7287.66406250
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-4.180000

Labels,
TIME,CH4
-1.14170625e-06,-1.45781250e-01
-1.14154625e-06,-1.05937500e-01
-1.14138625e-06,-1.29375000e-01
-1.14122625e-06,-1.07812500e-01
-1.14106625e-06,-7.64062500e-02
-1.14090625e-06,-1.25156250e-01
-1.14074625e-06,-1.28906250e-01
-1.14058625e-06,-7.73437500e-02
-1.14042625e-06,-1.26562500e-01
-1.14026625e-06,-1.86093750e-01
-1.14010625e-06,-1.36406250e-01
-1.13994625e-06,-1.14843750e-01
-1.13978625e-06,-1.62187500e-01
-1.13962625e-06,-1.58906250e-01
-1.13946625e-06,-1.31250000e-01
-1.13930625e-06,-1.19531250e-01
-1.13914625e-06,-8.67187500e-02
-1.13898625e-06,-1.05468750e-01
-1.13882625e-06,-1.76250000e-01
-1.13866625e-06,-1.44375000e-01
-1.13850625e-06,-6.65625000e-02
-1.13834625e-06,-1.05468750e-01
-1.13818625e-06,-1.45781250e-01
-1.13802625e-06,-7.96875000e-02
-1.13786625e-06,-5.90625000e-02
-1.13770625e-06,-1.32187500e-01
-1.13754625e-06,-1.61250000e-01
-1.13738625e-06,-1.49062500e-01
-1.13722625e-06,-1.84687500e-01
-1.13706625e-06,-2.20781250e-01
-1.13690625e-06,-1.84687500e-01
-1.13674625e-06,-1.31718750e-01
-1.13658625e-06,-1.42968750e-01
-1.13642625e-06,-1.80468750e-01
-1.13626625e-06,-1.57968750e-01
-1.13610625e-06,-1.05937500e-01
-1.13594625e-06,-1.23281250e-01
-1.13578625e-06,-1.81875000e-01
-1.13562625e-06,-1.77656250e-01
-1.13546625e-06,-1.30781250e-01
-1.13530625e-06,-1.18593750e-01
-1.13514625e-06,-1.20000000e-01
-1.13498625e-06,-1.05937500e-01
-1.13482625e-06,-9.70312500e-02
-1.13466625e-06,-9.14062500e-02
-1.13450625e-06,-1.11093750e-01
-1.13434625e-06,-1.79531250e-01
-1.13418625e-06,-1.96875000e-01
-1.13402625e-06,-1.22812500e-01
-1.13386625e-06,-1.03593750e-01
-1.13370625e-06,-1.55625000e-01
-1.13354625e-06,-1.27031250e-01
-1.13338625e-06,-5.95312500e-02
-1.13322625e-06,-7.26562500e-02
-1.13306625e-06,-9.42187500e-02
-1.13290625e-06,-7.87500000e-02
-1.13274625e-06,-9.18750000e-02
-1.13258625e-06,-1.04531250e-01
-1.13242625e-06,-8.29687500e-02
-1.13226625e-06,-9.79687500e-02
-1.13210625e-06,-1.35000000e-01
-1.13194625e-06,-1.23750000e-01
-1.13178625e-06,-1.04062500e-01
-1.13162625e-06,-1.12031250e-01
-1.13146625e-06,-1.00781250e-01
-1.13130625e-06,-7.40625000e-02
-1.13114625e-06,-8.34375000e-02
-1.13098625e-06,-1.05468750e-01
-1.13082625e-06,-9.51562500e-02
-1.13066625e-06,-7.54687500e-02
-1.13050625e-06,-7.45312500e-02
-1.13034625e-06,-7.21875000e-02
-1.13018625e-06,-5.81250000e-02
-1.13002625e-06,-5.81250000e-02
-1.12986625e-06,-7.54687500e-02
-1.12970625e-06,-8.67187500e-02
-1.12954625e-06,-9.98437500e-02
-1.12938625e-06,-1.28906250e-01
-1.12922625e-06,-1.29375000e-01
-1.12906625e-06,-8.43750000e-02
-1.12890625e-06,-7.59375000e-02
-1.12874625e-06,-1.26093750e-01
-1.12858625e-06,-1.31718750e-01
-1.12842625e-06,-7.21875000e-02
-1.12826625e-06,-5.01562500e-02
-1.12810625e-06,-8.76562500e-02
-1.12794625e-06,-1.05000000e-01
-1.12778625e-06,-7.68750000e-02
-1.12762625e-06,-7.12500000e-02
-1.12746625e-06,-1.31718750e-01
-1.12730625e-06,-1.71562500e-01
-1.12714625e-06,-1.24687500e-01
-1.12698625e-06,-1.14843750e-01
-1.12682625e-06,-2.00156250e-01
-1.12666625e-06,-2.11875000e-01
-1.12650625e-06,-1.30781250e-01
-1.12634625e-06,-1.41562500e-01
-1.12618625e-06,-2.03437500e-01
-1.12602625e-06,-1.53281250e-01
