x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-540.0000E-06,,,,
-539.6375E-06,,,,
-539.2750E-06,,,,
-538.9124E-06,,,,
-538.5499E-06,,,,
-538.1874E-06,,,,
-537.8249E-06,,,,
-537.4624E-06,,,,
-537.0998E-06,,,,
-536.7373E-06,,,,
-536.3748E-06,,,,
-536.0123E-06,,,,
-535.6498E-06,,,,
-535.2873E-06,,,,
-534.9247E-06,,,,
-534.5622E-06,,,,
-534.1997E-06,,,,
-533.8372E-06,,,,
-533.4747E-06,,,,
-533.1121E-06,,,,
-532.7496E-06,,,,
-532.3871E-06,,,,
-532.0246E-06,,,,
-531.6621E-06,,,,
-531.2995E-06,,,,
-530.9370E-06,,,,
-530.5745E-06,,,,
-530.2120E-06,,,,
-529.8495E-06,,,,
-529.4869E-06,,,,
-529.1244E-06,,,,
-528.7619E-06,,,,
-528.3994E-06,,,,
-528.0369E-06,,,,
-527.6743E-06,,,,
-527.3118E-06,,,,
-526.9493E-06,,,,
-526.5868E-06,,,,
-526.2243E-06,,,,
-525.8618E-06,,,,
-525.4992E-06,,,,
-525.1367E-06,,,,
-524.7742E-06,,,,
-524.4117E-06,,,,
-524.0492E-06,,,,
-523.6866E-06,,,,
-523.3241E-06,,,,
-522.9616E-06,,,,
-522.5991E-06,,,,
-522.2366E-06,,,,
-521.8740E-06,,,,
-521.5115E-06,,,,
-521.1490E-06,,,,
-520.7865E-06,,,,
-520.4240E-06,,,,
-520.0614E-06,,,,
-519.6989E-06,,,,
-519.3364E-06,,,,
-518.9739E-06,,,,
-518.6114E-06,,,,
-518.2488E-06,,,,
-517.8863E-06,,,,
-517.5238E-06,,,,
-517.1613E-06,,,,
-516.7988E-06,+45.3845179E-03,+38.2106854E-03,-153.9137987E-03,+1.9906406652E+00
-516.4363E-06,+49.6558764E-03,+40.9745057E-03,-155.4213370E-03,+1.9906406652E+00
-516.0737E-06,+53.9272349E-03,+39.4526335E-03,-156.1496584E-03,+1.9925887071E+00
-515.7112E-06,+51.5752474E-03,+40.9745078E-03,-153.9249111E-03,+1.9931532280E+00
-515.3487E-06,+50.6155635E-03,+41.5954797E-03,-157.1435750E-03,+1.9931532280E+00
-514.9862E-06,+50.6155635E-03,+39.4526303E-03,-153.2076963E-03,+1.9931532280E+00
-514.6237E-06,+50.6155635E-03,+38.8316605E-03,-153.6879954E-03,+1.9931532280E+00
-514.2611E-06,+53.9272431E-03,+40.9745120E-03,-153.0836843E-03,+1.9931532280E+00
-513.8986E-06,+54.8869204E-03,+41.5954797E-03,-153.9138033E-03,+1.9931532280E+00
