x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-520.0000E-06,,,,
-519.6375E-06,,,,
-519.2750E-06,,,,
-518.9125E-06,,,,
-518.5500E-06,,,,
-518.1875E-06,,,,
-517.8250E-06,,,,
-517.4625E-06,,,,
-517.1000E-06,,,,
-516.7375E-06,+44.2821723E-03,+37.4974030E-03,-153.5247356E-03,+1.9906406652E+00
-516.3750E-06,+48.5535292E-03,+40.2612222E-03,-155.0322732E-03,+1.9906406652E+00
-516.0125E-06,+52.8248860E-03,+40.1659181E-03,-156.0199703E-03,+1.9919402666E+00
-515.6500E-06,+52.6775979E-03,+40.2612222E-03,-154.7030409E-03,+1.9931532280E+00
-515.2875E-06,+50.6155635E-03,+41.5954797E-03,-155.8466901E-03,+1.9931532280E+00
-514.9250E-06,+50.6155635E-03,+40.1659181E-03,-154.8936491E-03,+1.9931532280E+00
-514.5625E-06,+50.6155635E-03,+38.8316605E-03,-153.0395510E-03,+1.9931532280E+00
-514.2000E-06,+52.8248860E-03,+40.2612222E-03,-153.4727515E-03,+1.9931532280E+00
-513.8375E-06,+54.8869204E-03,+41.5954797E-03,-153.5247356E-03,+1.9931532280E+00
-513.4750E-06,+52.6775979E-03,+43.0250414E-03,-155.2921935E-03,+1.9931532280E+00
-513.1125E-06,+50.6155635E-03,+41.5001756E-03,-156.7824032E-03,+1.9918536265E+00
-512.7500E-06,+48.4062410E-03,+40.2612222E-03,-156.7477471E-03,+1.9906406652E+00
-512.3875E-06,+48.5535292E-03,+40.1659181E-03,-156.7824032E-03,+1.9906406652E+00
-512.0250E-06,+50.6155635E-03,+40.2612222E-03,-157.0076674E-03,+1.9893410637E+00
-511.6625E-06,+52.8248860E-03,+43.0250414E-03,-156.5051549E-03,+1.9894277038E+00
-511.3000E-06,+52.6775979E-03,+42.9297372E-03,-156.0026423E-03,+1.9906406652E+00
-510.9375E-06,+50.6155635E-03,+43.0250414E-03,-155.7600501E-03,+1.9919402666E+00
-510.5750E-06,+48.4062410E-03,+41.5001756E-03,-155.2402095E-03,+1.9931532280E+00
-510.2125E-06,+48.5535292E-03,+40.2612222E-03,-155.5347858E-03,+1.9931532280E+00
-509.8500E-06,+50.6155635E-03,+41.5954797E-03,-157.0423235E-03,+1.9944528294E+00
-509.4875E-06,+50.6155635E-03,+43.0250414E-03,-156.4704988E-03,+1.9943661893E+00
-509.1250E-06,+48.4062410E-03,+42.9297372E-03,-153.6980158E-03,+1.9918536265E+00
-508.7625E-06,+48.5535292E-03,+43.0250414E-03,-154.8416650E-03,+1.9919402666E+00
-508.4000E-06,+50.6155635E-03,+42.9297372E-03,-157.0076674E-03,+1.9918536265E+00
-508.0375E-06,+50.6155635E-03,+41.5954797E-03,-155.4654737E-03,+1.9906406652E+00
-507.6750E-06,+50.6155635E-03,+40.1659181E-03,-155.5521138E-03,+1.9906406652E+00
-507.3125E-06,+50.6155635E-03,+40.2612222E-03,-156.2452346E-03,+1.9893410637E+00
-506.9500E-06,+50.6155635E-03,+41.5954797E-03,-154.7203689E-03,+1.9907273053E+00
-506.5875E-06,+50.6155635E-03,+41.5954797E-03,-154.7896810E-03,+1.9931532280E+00
-506.2250E-06,+50.6155635E-03,+43.0250414E-03,-154.4604486E-03,+1.9931532280E+00
-505.8625E-06,+50.6155635E-03,+41.5001756E-03,-154.5470887E-03,+1.9931532280E+00
-505.5000E-06,+50.6155635E-03,+40.2612222E-03,-157.0596515E-03,+1.9944528294E+00
-505.1375E-06,+52.8248860E-03,+40.1659181E-03,-155.9333302E-03,+1.9956657907E+00
-504.7750E-06,+52.6775979E-03,+38.8316605E-03,-154.2698404E-03,+1.9943661893E+00
-504.4125E-06,+50.6155635E-03,+40.2612222E-03,-154.7550249E-03,+1.9918536265E+00
-504.0500E-06,+52.8248860E-03,+41.5954797E-03,-155.2748655E-03,+1.9893410637E+00
-503.6875E-06,+52.6775979E-03,+41.5954797E-03,-156.0199703E-03,+1.9881281024E+00
-503.3250E-06,+52.8248860E-03,+41.5954797E-03,-158.3419249E-03,+1.9881281024E+00
-502.9625E-06,+54.8869204E-03,+40.1659181E-03,-157.6834602E-03,+1.9881281024E+00
-502.6000E-06,+52.6775979E-03,+40.2612222E-03,-155.5174578E-03,+1.9894277038E+00
-502.2375E-06,+50.6155635E-03,+40.1659181E-03,-154.7203689E-03,+1.9906406652E+00
-501.8750E-06,+50.6155635E-03,+40.2612222E-03,-154.2698404E-03,+1.9919402666E+00
-501.5125E-06,+50.6155635E-03,+41.5954797E-03,-153.7153438E-03,+1.9944528294E+00
-501.1500E-06,+48.4062410E-03,+40.1659181E-03,-154.8243370E-03,+1.9943661893E+00
-500.7875E-06,+48.5535292E-03,+40.2612222E-03,-156.7650752E-03,+1.9931532280E+00
-500.4250E-06,+48.4062410E-03,+41.5954797E-03,-157.0249955E-03,+1.9944528294E+00
-500.0625E-06,+48.5535292E-03,+40.1659181E-03,-157.0076674E-03,+1.9943661893E+00
-499.7000E-06,+50.6155635E-03,+40.2612222E-03,-156.7650752E-03,+1.9931532280E+00
-499.3375E-06,+50.6155635E-03,+41.5954797E-03,-155.4654737E-03,+1.9918536265E+00
-498.9750E-06,+50.6155635E-03,+41.5954797E-03,-155.0322732E-03,+1.9906406652E+00
-498.6125E-06,+50.6155635E-03,+41.5954797E-03,-155.2402095E-03,+1.9893410637E+00
-498.2500E-06,+50.6155635E-03,+40.1659181E-03,-155.0149452E-03,+1.9881281024E+00
-497.8875E-06,+52.8248860E-03,+40.2612222E-03,-156.0372984E-03,+1.9894277038E+00
-497.5250E-06,+54.8869204E-03,+43.0250414E-03,-158.8444375E-03,+1.9919402666E+00
-497.1625E-06,+52.6775979E-03,+42.9297372E-03,-160.2653351E-03,+1.9944528294E+00
-496.8000E-06,+50.6155635E-03,+43.0250414E-03,-158.4805491E-03,+1.9956657907E+00
-496.4375E-06,+50.6155635E-03,+41.5001756E-03,-156.7477471E-03,+1.9943661893E+00
-496.0750E-06,+50.6155635E-03,+38.8316605E-03,-157.8220843E-03,+1.9931532280E+00
-495.7125E-06,+50.6155635E-03,+40.2612222E-03,-158.4978771E-03,+1.9918536265E+00
-495.3500E-06,+50.6155635E-03,+40.1659181E-03,-155.6907380E-03,+1.9906406652E+00
-494.9875E-06,+50.6155635E-03,+40.2612222E-03,-153.7499998E-03,+1.9906406652E+00
-494.6250E-06,+52.8248860E-03,+41.5954797E-03,-154.7896810E-03,+1.9906406652E+00
-494.2625E-06,+52.6775979E-03,+40.1659181E-03,-156.0199703E-03,+1.9906406652E+00
-493.9000E-06,+50.6155635E-03,+38.8316605E-03,-156.7824032E-03,+1.9893410637E+00
-493.5375E-06,+52.8248860E-03,+40.2612222E-03,-156.4878269E-03,+1.9894277038E+00
-493.1750E-06,+52.6775979E-03,+43.0250414E-03,-154.9802892E-03,+1.9919402666E+00
-492.8125E-06,+52.8248860E-03,+42.9297372E-03,-156.5917950E-03,+1.9931532280E+00
-492.4500E-06,+54.8869204E-03,+41.5954797E-03,-156.4358428E-03,+1.9931532280E+00
-492.0875E-06,+54.8869204E-03,+41.5954797E-03,-153.7326718E-03,+1.9931532280E+00
-491.7250E-06,+52.6775979E-03,+41.5954797E-03,-152.9875670E-03,+1.9931532280E+00
-491.3625E-06,+50.6155635E-03,+41.5954797E-03,-155.0842573E-03,+1.9931532280E+00
-491.0000E-06,+50.6155635E-03,+41.5954797E-03,-157.7874283E-03,+1.9918536265E+00
-490.6375E-06,+50.6155635E-03,+41.5954797E-03,-157.4928520E-03,+1.9906406652E+00
-490.2750E-06,+50.6155635E-03,+41.5954797E-03,-155.7253940E-03,+1.9906406652E+00
-489.9125E-06,+52.8248860E-03,+43.0250414E-03,-154.4951046E-03,+1.9906406652E+00
-489.5500E-06,+52.6775979E-03,+41.5001756E-03,-154.5124327E-03,+1.9906406652E+00
-489.1875E-06,+48.4062410E-03,+40.2612222E-03,-156.5744670E-03,+1.9919402666E+00
-488.8250E-06,+46.3442067E-03,+41.5954797E-03,-158.2726128E-03,+1.9918536265E+00
-488.4625E-06,+48.5535292E-03,+40.1659181E-03,-158.0126926E-03,+1.9919402666E+00
-488.1000E-06,+50.6155635E-03,+40.2612222E-03,-159.3296220E-03,+1.9918536265E+00
-487.7375E-06,+52.8248860E-03,+41.5954797E-03,-158.4458930E-03,+1.9919402666E+00
-487.3750E-06,+54.8869204E-03,+41.5954797E-03,-156.2625626E-03,+1.9931532280E+00
-487.0125E-06,+52.6775979E-03,+40.1659181E-03,-157.3022438E-03,+1.9931532280E+00
-486.6500E-06,+50.6155635E-03,+38.8316605E-03,-157.2329317E-03,+1.9918536265E+00
-486.2875E-06,+50.6155635E-03,+40.2612222E-03,-155.7427220E-03,+1.9906406652E+00
-485.9250E-06,+50.6155635E-03,+41.5954797E-03,-157.0769795E-03,+1.9919402666E+00
-485.5625E-06,+52.8248860E-03,+41.5954797E-03,-157.7354442E-03,+1.9918536265E+00
-485.2000E-06,+52.6775979E-03,+41.5954797E-03,-157.2849157E-03,+1.9893410637E+00
-484.8375E-06,+48.4062410E-03,+40.1659181E-03,-157.2502597E-03,+1.9881281024E+00
-484.4750E-06,+48.5535292E-03,+41.6907838E-03,-157.8047563E-03,+1.9894277038E+00
-484.1125E-06,+48.4062410E-03,+42.9297372E-03,-158.7751254E-03,+1.9906406652E+00
-483.7500E-06,+48.5535292E-03,+40.1659181E-03,-158.5152051E-03,+1.9919402666E+00
-483.3875E-06,+48.4062410E-03,+38.8316605E-03,-158.5325331E-03,+1.9931532280E+00
-483.0250E-06,+46.3442067E-03,+41.6907838E-03,-158.7751254E-03,+1.9957524308E+00
-482.6625E-06,+48.5535292E-03,+42.9297372E-03,-159.8148066E-03,+1.9955791506E+00
-482.3000E-06,+48.4062410E-03,+40.1659181E-03,-158.7058133E-03,+1.9931532280E+00
-481.9375E-06,+48.5535292E-03,+40.2612222E-03,-156.2452346E-03,+1.9918536265E+00
-481.5750E-06,+52.8248860E-03,+41.5954797E-03,-157.3195718E-03,+1.9906406652E+00
-481.2125E-06,+52.6775979E-03,+41.5954797E-03,-157.7354442E-03,+1.9906406652E+00
-480.8500E-06,+50.6155635E-03,+40.1659181E-03,-156.7650752E-03,+1.9906406652E+00
-480.4875E-06,+50.6155635E-03,+40.2612222E-03,-156.5051549E-03,+1.9906406652E+00
-480.1250E-06,+50.6155635E-03,+40.1659181E-03,-157.0423235E-03,+1.9906406652E+00
-479.7625E-06,+50.6155635E-03,+38.8316605E-03,-156.2105786E-03,+1.9919402666E+00
-479.4000E-06,+52.8248860E-03,+41.6907838E-03,-156.0546264E-03,+1.9931532280E+00
-479.0375E-06,+50.4682754E-03,+42.9297372E-03,-155.7080660E-03,+1.9918536265E+00
-478.6750E-06,+50.7628517E-03,+41.5954797E-03,-156.8517153E-03,+1.9919402666E+00
-478.3125E-06,+52.6775979E-03,+41.5954797E-03,-158.4978771E-03,+1.9918536265E+00
-477.9500E-06,+48.4062410E-03,+40.1659181E-03,-155.9506583E-03,+1.9919402666E+00
-477.5875E-06,+48.5535292E-03,+41.6907838E-03,-156.0719544E-03,+1.9918536265E+00
-477.2250E-06,+48.4062410E-03,+42.9297372E-03,-156.7304191E-03,+1.9906406652E+00
-476.8625E-06,+48.5535292E-03,+40.1659181E-03,-157.3195718E-03,+1.9906406652E+00
-476.5000E-06,+52.8248860E-03,+38.8316605E-03,-157.9953645E-03,+1.9906406652E+00
-476.1375E-06,+52.6775979E-03,+40.2612222E-03,-158.3072689E-03,+1.9906406652E+00
-475.7750E-06,+50.6155635E-03,+41.5954797E-03,-157.4581959E-03,+1.9906406652E+00
-475.4125E-06,+48.4062410E-03,+41.5954797E-03,-156.2798906E-03,+1.9932398681E+00
-475.0500E-06,+48.5535292E-03,+40.1659181E-03,-156.5051549E-03,+1.9943661893E+00
-474.6875E-06,+50.6155635E-03,+40.2612222E-03,-158.0820046E-03,+1.9931532280E+00
-474.3250E-06,+50.6155635E-03,+41.5954797E-03,-157.7007882E-03,+1.9944528294E+00
-473.9625E-06,+52.8248860E-03,+41.5954797E-03,-158.0993326E-03,+1.9943661893E+00
-473.6000E-06,+50.4682754E-03,+40.1659181E-03,-161.0624239E-03,+1.9931532280E+00
-473.2375E-06,+48.5535292E-03,+40.2612222E-03,-159.9707587E-03,+1.9918536265E+00
-472.8750E-06,+48.4062410E-03,+41.5954797E-03,-156.4531708E-03,+1.9906406652E+00
