Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,2699.95703125
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.360000

Labels,
TIME,CH8
-4.07033125e-07,9.21875000e-02
-4.06873125e-07,7.92187500e-02
-4.06713125e-07,4.85937500e-02
-4.06553125e-07,6.34375000e-02
-4.06393125e-07,7.79687500e-02
-4.06233125e-07,5.70312500e-02
-4.06073125e-07,5.06250000e-02
-4.05913125e-07,5.98437500e-02
-4.05753125e-07,5.76562500e-02
-4.05593125e-07,6.35937500e-02
-4.05433125e-07,6.76562500e-02
-4.05273125e-07,5.40625000e-02
-4.05113125e-07,6.26562500e-02
-4.04953125e-07,8.34375000e-02
-4.04793125e-07,6.31250000e-02
-4.04633125e-07,4.09375000e-02
-4.04473125e-07,6.60937500e-02
-4.04313125e-07,7.60937500e-02
-4.04153125e-07,3.40625000e-02
-4.03993125e-07,2.12500000e-02
-4.03833125e-07,5.90625000e-02
-4.03673125e-07,5.10937500e-02
-4.03513125e-07,-1.25000000e-03
-4.03353125e-07,1.45312500e-02
-4.03193125e-07,7.32812500e-02
-4.03033125e-07,5.59375000e-02
-4.02873125e-07,5.46875000e-03
-4.02713125e-07,2.46875000e-02
-4.02553125e-07,5.98437500e-02
-4.02393125e-07,4.14062500e-02
-4.02233125e-07,2.14062500e-02
-4.02073125e-07,2.96875000e-02
-4.01913125e-07,3.28125000e-02
-4.01753125e-07,2.96875000e-02
-4.01593125e-07,2.35937500e-02
-4.01433125e-07,1.12500000e-02
-4.01273125e-07,2.31250000e-02
-4.01113125e-07,4.46875000e-02
-4.00953125e-07,2.34375000e-02
-4.00793125e-07,2.34375000e-03
-4.00633125e-07,2.71875000e-02
-4.00473125e-07,2.50000000e-02
-4.00313125e-07,-1.60937500e-02
-4.00153125e-07,2.65625000e-03
-3.99993125e-07,6.06250000e-02
-3.99833125e-07,5.48437500e-02
-3.99673125e-07,1.81250000e-02
-3.99513125e-07,3.17187500e-02
-3.99353125e-07,7.06250000e-02
-3.99193125e-07,7.93750000e-02
-3.99033125e-07,5.40625000e-02
-3.98873125e-07,2.23437500e-02
-3.98713125e-07,1.98437500e-02
-3.98553125e-07,4.71875000e-02
-3.98393125e-07,5.26562500e-02
-3.98233125e-07,2.20312500e-02
-3.98073125e-07,1.37500000e-02
-3.97913125e-07,3.95312500e-02
-3.97753125e-07,3.90625000e-02
-3.97593125e-07,1.89062500e-02
-3.97433125e-07,3.76562500e-02
-3.97273125e-07,6.00000000e-02
-3.97113125e-07,3.95312500e-02
-3.96953125e-07,3.71875000e-02
-3.96793125e-07,6.84375000e-02
-3.96633125e-07,5.29687500e-02
-3.96473125e-07,1.12500000e-02
-3.96313125e-07,3.12500000e-02
-3.96153125e-07,7.39062500e-02
-3.95993125e-07,6.14062500e-02
-3.95833125e-07,2.60937500e-02
-3.95673125e-07,2.04687500e-02
-3.95513125e-07,3.31250000e-02
-3.95353125e-07,3.98437500e-02
-3.95193125e-07,3.75000000e-02
-3.95033125e-07,3.59375000e-02
-3.94873125e-07,4.25000000e-02
-3.94713125e-07,4.01562500e-02
-3.94553125e-07,1.43750000e-02
-3.94393125e-07,-1.56250000e-04
-3.94233125e-07,2.90625000e-02
-3.94073125e-07,4.98437500e-02
-3.93913125e-07,1.59375000e-02
-3.93753125e-07,-2.81250000e-03
-3.93593125e-07,4.28125000e-02
-3.93433125e-07,6.57812500e-02
-3.93273125e-07,1.96875000e-02
-3.93113125e-07,-7.50000000e-03
-3.92953125e-07,1.54687500e-02
-3.92793125e-07,1.60937500e-02
-3.92633125e-07,-6.87500000e-03
-3.92473125e-07,5.46875000e-03
-3.92313125e-07,2.65625000e-02
-3.92153125e-07,1.07812500e-02
-3.91993125e-07,-7.65625000e-03
-3.91833125e-07,-4.84375000e-03
-3.91673125e-07,1.56250000e-04
-3.91513125e-07,1.37500000e-02
-3.91353125e-07,2.17187500e-02
-3.91193125e-07,-5.78125000e-03
-3.91033125e-07,-1.39062500e-02
-3.90873125e-07,2.03125000e-02
-3.90713125e-07,5.15625000e-03
-3.90553125e-07,-3.96875000e-02
-3.90393125e-07,-1.56250000e-03
-3.90233125e-07,4.32812500e-02
-3.90073125e-07,-5.93750000e-03
-3.89913125e-07,-3.15625000e-02
-3.89753125e-07,2.09375000e-02
-3.89593125e-07,2.50000000e-02
-3.89433125e-07,-2.67187500e-02
-3.89273125e-07,-3.68750000e-02
-3.89113125e-07,-1.56250000e-02
-3.88953125e-07,4.84375000e-03
-3.88793125e-07,2.56250000e-02
-3.88633125e-07,8.28125000e-03
-3.88473125e-07,-3.10937500e-02
-3.88313125e-07,-1.59375000e-02
-3.88153125e-07,1.71875000e-02
-3.87993125e-07,-7.34375000e-03
-3.87833125e-07,-3.62500000e-02
-3.87673125e-07,-1.89062500e-02
-3.87513125e-07,-1.39062500e-02
-3.87353125e-07,-2.96875000e-02
-3.87193125e-07,-8.43750000e-03
-3.87033125e-07,1.21875000e-02
-3.86873125e-07,-3.18750000e-02
-3.86713125e-07,-6.60937500e-02
-3.86553125e-07,-1.42187500e-02
-3.86393125e-07,2.75000000e-02
-3.86233125e-07,-2.57812500e-02
-3.86073125e-07,-7.07812500e-02
-3.85913125e-07,-3.42187500e-02
-3.85753125e-07,-1.87500000e-02
-3.85593125e-07,-5.31250000e-02
-3.85433125e-07,-3.67187500e-02
-3.85273125e-07,6.25000000e-03
-3.85113125e-07,-8.28125000e-03
-3.84953125e-07,-1.98437500e-02
-3.84793125e-07,1.51562500e-02
-3.84633125e-07,2.06250000e-02
-3.84473125e-07,-1.53125000e-02
-3.84313125e-07,-2.89062500e-02
-3.84153125e-07,-3.28125000e-03
-3.83993125e-07,3.70312500e-02
-3.83833125e-07,4.06250000e-02
-3.83673125e-07,-1.10937500e-02
-3.83513125e-07,-3.29687500e-02
-3.83353125e-07,9.37500000e-03
-3.83193125e-07,1.93750000e-02
-3.83033125e-07,-1.87500000e-02
-3.82873125e-07,-1.26562500e-02
-3.82713125e-07,2.60937500e-02
-3.82553125e-07,2.10937500e-02
-3.82393125e-07,-7.18750000e-03
-3.82233125e-07,-1.37500000e-02
-3.82073125e-07,-1.87500000e-02
-3.81913125e-07,-3.28125000e-02
-3.81753125e-07,-2.90625000e-02
-3.81593125e-07,-5.93750000e-03
-3.81433125e-07,1.21875000e-02
-3.81273125e-07,1.59375000e-02
-3.81113125e-07,4.68750000e-03
-3.80953125e-07,-1.76562500e-02
-3.80793125e-07,-2.35937500e-02
-3.80633125e-07,-1.56250000e-03
-3.80473125e-07,4.21875000e-03
-3.80313125e-07,-1.89062500e-02
-3.80153125e-07,-1.78125000e-02
