Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.09375000
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.11855000e-07,-9.72500000e-02
-3.11695000e-07,-1.06500000e-01
-3.11535000e-07,-1.22250000e-01
-3.11375000e-07,-1.16750000e-01
-3.11215000e-07,-1.13875000e-01
-3.11055000e-07,-1.15625000e-01
-3.10895000e-07,-1.17125000e-01
-3.10735000e-07,-1.23125000e-01
-3.10575000e-07,-1.13875000e-01
-3.10415000e-07,-9.13750000e-02
-3.10255000e-07,-9.15000000e-02
-3.10095000e-07,-1.06125000e-01
-3.09935000e-07,-1.07000000e-01
-3.09775000e-07,-1.09875000e-01
-3.09615000e-07,-1.21375000e-01
-3.09455000e-07,-1.15375000e-01
-3.09295000e-07,-9.87500000e-02
-3.09135000e-07,-1.01875000e-01
-3.08975000e-07,-1.15750000e-01
-3.08815000e-07,-1.07000000e-01
-3.08655000e-07,-8.13750000e-02
-3.08495000e-07,-8.63750000e-02
-3.08335000e-07,-1.23250000e-01
-3.08175000e-07,-1.25000000e-01
-3.08015000e-07,-8.41250000e-02
-3.07855000e-07,-7.73750000e-02
-3.07695000e-07,-1.14750000e-01
-3.07535000e-07,-1.28875000e-01
-3.07375000e-07,-1.05000000e-01
-3.07215000e-07,-8.63750000e-02
-3.07055000e-07,-9.83750000e-02
-3.06895000e-07,-1.25125000e-01
-3.06735000e-07,-1.25625000e-01
-3.06575000e-07,-9.92500000e-02
-3.06415000e-07,-1.00000000e-01
-3.06255000e-07,-1.27125000e-01
-3.06095000e-07,-1.24250000e-01
-3.05935000e-07,-1.07750000e-01
-3.05775000e-07,-1.18750000e-01
-3.05615000e-07,-1.19125000e-01
-3.05455000e-07,-9.32500000e-02
-3.05295000e-07,-9.45000000e-02
-3.05135000e-07,-1.16875000e-01
-3.04975000e-07,-1.14375000e-01
-3.04815000e-07,-1.06625000e-01
-3.04655000e-07,-1.14000000e-01
-3.04495000e-07,-1.07875000e-01
-3.04335000e-07,-9.20000000e-02
-3.04175000e-07,-9.81250000e-02
-3.04015000e-07,-1.18000000e-01
-3.03855000e-07,-1.26375000e-01
-3.03695000e-07,-1.18750000e-01
-3.03535000e-07,-1.04000000e-01
-3.03375000e-07,-9.95000000e-02
-3.03215000e-07,-1.14625000e-01
-3.03055000e-07,-1.25750000e-01
-3.02895000e-07,-1.08625000e-01
-3.02735000e-07,-9.15000000e-02
-3.02575000e-07,-1.11125000e-01
-3.02415000e-07,-1.29250000e-01
-3.02255000e-07,-9.81250000e-02
-3.02095000e-07,-7.10000000e-02
-3.01935000e-07,-1.01250000e-01
-3.01775000e-07,-1.23625000e-01
-3.01615000e-07,-9.35000000e-02
-3.01455000e-07,-8.31250000e-02
-3.01295000e-07,-1.19875000e-01
-3.01135000e-07,-1.27375000e-01
-3.00975000e-07,-9.05000000e-02
-3.00815000e-07,-8.06250000e-02
-3.00655000e-07,-1.09375000e-01
-3.00495000e-07,-1.18500000e-01
-3.00335000e-07,-9.73750000e-02
-3.00175000e-07,-9.08750000e-02
-3.00015000e-07,-1.10625000e-01
-2.99855000e-07,-1.23625000e-01
-2.99695000e-07,-1.15625000e-01
-2.99535000e-07,-1.00750000e-01
-2.99375000e-07,-8.78750000e-02
-2.99215000e-07,-8.16250000e-02
-2.99055000e-07,-9.06250000e-02
-2.98895000e-07,-1.11375000e-01
-2.98735000e-07,-1.23750000e-01
-2.98575000e-07,-1.13375000e-01
-2.98415000e-07,-9.33750000e-02
-2.98255000e-07,-8.91250000e-02
-2.98095000e-07,-9.91250000e-02
-2.97935000e-07,-1.00000000e-01
-2.97775000e-07,-9.07500000e-02
