Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,2324.46875000
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.71915000e-07,-2.26562500e-02
-3.71755000e-07,-7.03125000e-03
-3.71595000e-07,-3.50000000e-02
-3.71435000e-07,-4.81250000e-02
-3.71275000e-07,-2.21875000e-02
-3.71115000e-07,-1.51562500e-02
-3.70955000e-07,-2.90625000e-02
-3.70795000e-07,-2.14062500e-02
-3.70635000e-07,-1.03125000e-02
-3.70475000e-07,-2.06250000e-02
-3.70315000e-07,-3.07812500e-02
-3.70155000e-07,-2.92187500e-02
-3.69995000e-07,-2.28125000e-02
-3.69835000e-07,-1.51562500e-02
-3.69675000e-07,-1.76562500e-02
-3.69515000e-07,-1.50000000e-02
-3.69355000e-07,1.65625000e-02
-3.69195000e-07,3.29687500e-02
-3.69035000e-07,-1.87500000e-03
-3.68875000e-07,-2.10937500e-02
-3.68715000e-07,6.87500000e-03
-3.68555000e-07,4.53125000e-03
-3.68395000e-07,-3.60937500e-02
-3.68235000e-07,-3.34375000e-02
-3.68075000e-07,0.00000000e+00
-3.67915000e-07,-7.96875000e-03
-3.67755000e-07,-3.29687500e-02
-3.67595000e-07,-2.06250000e-02
-3.67435000e-07,0.00000000e+00
-3.67275000e-07,-1.29687500e-02
-3.67115000e-07,-3.20312500e-02
-3.66955000e-07,-9.21875000e-03
-3.66795000e-07,3.92187500e-02
-3.66635000e-07,4.29687500e-02
-3.66475000e-07,-9.37500000e-03
-3.66315000e-07,-3.18750000e-02
-3.66155000e-07,1.12500000e-02
-3.65995000e-07,3.85937500e-02
-3.65835000e-07,1.35937500e-02
-3.65675000e-07,1.14062500e-02
-3.65515000e-07,4.75000000e-02
-3.65355000e-07,3.84375000e-02
-3.65195000e-07,-1.23437500e-02
-3.65035000e-07,-2.96875000e-03
-3.64875000e-07,5.01562500e-02
-3.64715000e-07,3.37500000e-02
-3.64555000e-07,-2.42187500e-02
-3.64395000e-07,-6.56250000e-03
-3.64235000e-07,5.31250000e-02
-3.64075000e-07,5.03125000e-02
-3.63915000e-07,8.12500000e-03
-3.63755000e-07,1.87500000e-03
-3.63595000e-07,3.17187500e-02
-3.63435000e-07,5.12500000e-02
-3.63275000e-07,2.96875000e-02
-3.63115000e-07,-3.12500000e-03
-3.62955000e-07,8.28125000e-03
-3.62795000e-07,3.10937500e-02
-3.62635000e-07,4.84375000e-03
-3.62475000e-07,-6.56250000e-03
-3.62315000e-07,5.03125000e-02
-3.62155000e-07,6.93750000e-02
-3.61995000e-07,8.59375000e-03
-3.61835000e-07,-5.62500000e-03
-3.61675000e-07,4.82812500e-02
-3.61515000e-07,5.18750000e-02
-3.61355000e-07,1.21875000e-02
-3.61195000e-07,2.78125000e-02
-3.61035000e-07,7.32812500e-02
-3.60875000e-07,6.32812500e-02
-3.60715000e-07,2.14062500e-02
-3.60555000e-07,2.15625000e-02
-3.60395000e-07,5.20312500e-02
-3.60235000e-07,5.37500000e-02
-3.60075000e-07,3.65625000e-02
-3.59915000e-07,4.59375000e-02
-3.59755000e-07,6.48437500e-02
-3.59595000e-07,5.03125000e-02
-3.59435000e-07,1.67187500e-02
-3.59275000e-07,1.65625000e-02
-3.59115000e-07,5.87500000e-02
-3.58955000e-07,8.14062500e-02
-3.58795000e-07,4.82812500e-02
-3.58635000e-07,2.60937500e-02
-3.58475000e-07,6.07812500e-02
-3.58315000e-07,7.17187500e-02
-3.58155000e-07,2.03125000e-02
-3.57995000e-07,1.09375000e-02
-3.57835000e-07,6.73437500e-02
-3.57675000e-07,6.98437500e-02
-3.57515000e-07,1.53125000e-02
-3.57355000e-07,1.98437500e-02
