Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.35156250
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.11896250e-07,-1.07500000e-01
-3.11736250e-07,-1.07500000e-01
-3.11576250e-07,-1.06875000e-01
-3.11416250e-07,-1.00250000e-01
-3.11256250e-07,-9.32500000e-02
-3.11096250e-07,-1.08500000e-01
-3.10936250e-07,-1.14625000e-01
-3.10776250e-07,-9.80000000e-02
-3.10616250e-07,-1.07125000e-01
-3.10456250e-07,-1.26875000e-01
-3.10296250e-07,-1.02500000e-01
-3.10136250e-07,-7.85000000e-02
-3.09976250e-07,-1.04250000e-01
-3.09816250e-07,-1.19250000e-01
-3.09656250e-07,-9.05000000e-02
-3.09496250e-07,-8.50000000e-02
-3.09336250e-07,-1.15625000e-01
-3.09176250e-07,-1.11375000e-01
-3.09016250e-07,-7.32500000e-02
-3.08856250e-07,-7.47500000e-02
-3.08696250e-07,-1.07125000e-01
-3.08536250e-07,-9.85000000e-02
-3.08376250e-07,-7.21250000e-02
-3.08216250e-07,-9.87500000e-02
-3.08056250e-07,-1.41000000e-01
-3.07896250e-07,-1.28125000e-01
-3.07736250e-07,-9.60000000e-02
-3.07576250e-07,-1.00375000e-01
-3.07416250e-07,-1.20750000e-01
-3.07256250e-07,-1.23375000e-01
-3.07096250e-07,-1.05500000e-01
-3.06936250e-07,-9.02500000e-02
-3.06776250e-07,-1.06125000e-01
-3.06616250e-07,-1.24250000e-01
-3.06456250e-07,-1.02750000e-01
-3.06296250e-07,-8.83750000e-02
-3.06136250e-07,-1.13250000e-01
-3.05976250e-07,-1.14875000e-01
-3.05816250e-07,-9.18750000e-02
-3.05656250e-07,-1.04250000e-01
-3.05496250e-07,-1.16625000e-01
-3.05336250e-07,-9.01250000e-02
-3.05176250e-07,-8.15000000e-02
-3.05016250e-07,-1.03625000e-01
-3.04856250e-07,-1.04500000e-01
-3.04696250e-07,-8.55000000e-02
-3.04536250e-07,-8.11250000e-02
-3.04376250e-07,-9.80000000e-02
-3.04216250e-07,-1.15500000e-01
-3.04056250e-07,-1.08625000e-01
-3.03896250e-07,-9.45000000e-02
-3.03736250e-07,-9.93750000e-02
-3.03576250e-07,-9.91250000e-02
-3.03416250e-07,-8.51250000e-02
-3.03256250e-07,-8.50000000e-02
-3.03096250e-07,-9.31250000e-02
-3.02936250e-07,-9.85000000e-02
-3.02776250e-07,-1.00000000e-01
-3.02616250e-07,-8.06250000e-02
-3.02456250e-07,-7.36250000e-02
-3.02296250e-07,-1.15750000e-01
-3.02136250e-07,-1.36625000e-01
-3.01976250e-07,-9.78750000e-02
-3.01816250e-07,-8.17500000e-02
-3.01656250e-07,-1.00750000e-01
-3.01496250e-07,-8.88750000e-02
-3.01336250e-07,-7.08750000e-02
-3.01176250e-07,-9.25000000e-02
-3.01016250e-07,-1.11875000e-01
-3.00856250e-07,-9.48750000e-02
-3.00696250e-07,-7.43750000e-02
-3.00536250e-07,-8.18750000e-02
-3.00376250e-07,-1.01750000e-01
-3.00216250e-07,-1.01750000e-01
-3.00056250e-07,-8.92500000e-02
-2.99896250e-07,-9.42500000e-02
-2.99736250e-07,-1.05875000e-01
-2.99576250e-07,-1.00375000e-01
-2.99416250e-07,-8.61250000e-02
-2.99256250e-07,-7.86250000e-02
-2.99096250e-07,-8.27500000e-02
-2.98936250e-07,-9.25000000e-02
-2.98776250e-07,-9.67500000e-02
-2.98616250e-07,-9.96250000e-02
-2.98456250e-07,-9.86250000e-02
-2.98296250e-07,-7.82500000e-02
-2.98136250e-07,-6.51250000e-02
-2.97976250e-07,-8.68750000e-02
-2.97816250e-07,-9.96250000e-02
