Model,MSO68B
Channel,CH3
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,6874.58593750
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-4.240000

Labels,
TIME,CH3
-1.07433375e-06,3.00468750e-01
-1.07417375e-06,2.77031250e-01
-1.07401375e-06,2.65312500e-01
-1.07385375e-06,2.86875000e-01
-1.07369375e-06,3.29531250e-01
-1.07353375e-06,3.55781250e-01
-1.07337375e-06,3.45937500e-01
-1.07321375e-06,3.20625000e-01
-1.07305375e-06,3.13125000e-01
-1.07289375e-06,3.31406250e-01
-1.07273375e-06,3.41250000e-01
-1.07257375e-06,3.16875000e-01
-1.07241375e-06,2.87812500e-01
-1.07225375e-06,2.93437500e-01
-1.07209375e-06,3.15468750e-01
-1.07193375e-06,3.15468750e-01
-1.07177375e-06,2.94843750e-01
-1.07161375e-06,2.76093750e-01
-1.07145375e-06,2.83593750e-01
-1.07129375e-06,3.15000000e-01
-1.07113375e-06,3.25781250e-01
-1.07097375e-06,2.91562500e-01
-1.07081375e-06,2.47968750e-01
-1.07065375e-06,2.44218750e-01
-1.07049375e-06,2.79375000e-01
-1.07033375e-06,3.07968750e-01
-1.07017375e-06,3.07500000e-01
-1.07001375e-06,3.07500000e-01
-1.06985375e-06,3.21562500e-01
-1.06969375e-06,3.17812500e-01
-1.06953375e-06,2.88281250e-01
-1.06937375e-06,2.66250000e-01
-1.06921375e-06,2.70468750e-01
-1.06905375e-06,2.89687500e-01
-1.06889375e-06,3.05156250e-01
-1.06873375e-06,3.06093750e-01
-1.06857375e-06,2.93906250e-01
-1.06841375e-06,2.71875000e-01
-1.06825375e-06,2.50312500e-01
-1.06809375e-06,2.48437500e-01
-1.06793375e-06,2.62968750e-01
-1.06777375e-06,2.68125000e-01
-1.06761375e-06,2.60156250e-01
-1.06745375e-06,2.65781250e-01
-1.06729375e-06,3.01406250e-01
-1.06713375e-06,3.45937500e-01
-1.06697375e-06,3.64218750e-01
-1.06681375e-06,3.53437500e-01
-1.06665375e-06,3.32343750e-01
-1.06649375e-06,3.07500000e-01
-1.06633375e-06,2.89687500e-01
-1.06617375e-06,2.99531250e-01
-1.06601375e-06,3.27656250e-01
-1.06585375e-06,3.36562500e-01
-1.06569375e-06,3.20156250e-01
-1.06553375e-06,3.07968750e-01
-1.06537375e-06,3.14062500e-01
-1.06521375e-06,3.21562500e-01
-1.06505375e-06,3.08437500e-01
-1.06489375e-06,2.80781250e-01
-1.06473375e-06,2.70468750e-01
-1.06457375e-06,2.81718750e-01
-1.06441375e-06,2.81718750e-01
-1.06425375e-06,2.69531250e-01
-1.06409375e-06,2.80781250e-01
-1.06393375e-06,3.15937500e-01
-1.06377375e-06,3.30937500e-01
-1.06361375e-06,3.14062500e-01
-1.06345375e-06,3.05625000e-01
-1.06329375e-06,3.30937500e-01
-1.06313375e-06,3.63281250e-01
-1.06297375e-06,3.61875000e-01
-1.06281375e-06,3.19687500e-01
-1.06265375e-06,2.68593750e-01
-1.06249375e-06,2.42812500e-01
-1.06233375e-06,2.58281250e-01
-1.06217375e-06,3.11250000e-01
-1.06201375e-06,3.59531250e-01
-1.06185375e-06,3.55781250e-01
-1.06169375e-06,3.17812500e-01
-1.06153375e-06,3.04687500e-01
-1.06137375e-06,3.16406250e-01
-1.06121375e-06,3.11718750e-01
-1.06105375e-06,2.92968750e-01
-1.06089375e-06,2.81718750e-01
-1.06073375e-06,2.71406250e-01
-1.06057375e-06,2.63906250e-01
-1.06041375e-06,2.75625000e-01
-1.06025375e-06,3.05156250e-01
-1.06009375e-06,3.41718750e-01
-1.05993375e-06,3.66562500e-01
-1.05977375e-06,3.60000000e-01
-1.05961375e-06,3.32812500e-01
-1.05945375e-06,3.09375000e-01
-1.05929375e-06,2.99531250e-01
-1.05913375e-06,2.98125000e-01
-1.05897375e-06,3.00468750e-01
-1.05881375e-06,3.11250000e-01
-1.05865375e-06,3.28125000e-01
-1.05849375e-06,3.32343750e-01
-1.05833375e-06,3.26718750e-01
-1.05817375e-06,3.27187500e-01
-1.05801375e-06,3.21093750e-01
-1.05785375e-06,3.00000000e-01
-1.05769375e-06,2.92031250e-01
-1.05753375e-06,3.04218750e-01
-1.05737375e-06,2.99531250e-01
-1.05721375e-06,2.80312500e-01
-1.05705375e-06,2.93906250e-01
-1.05689375e-06,3.38906250e-01
-1.05673375e-06,3.56718750e-01
-1.05657375e-06,3.28593750e-01
-1.05641375e-06,2.92031250e-01
-1.05625375e-06,2.78906250e-01
-1.05609375e-06,2.91562500e-01
-1.05593375e-06,3.12656250e-01
-1.05577375e-06,3.23437500e-01
-1.05561375e-06,3.25781250e-01
-1.05545375e-06,3.31875000e-01
-1.05529375e-06,3.41250000e-01
-1.05513375e-06,3.52031250e-01
-1.05497375e-06,3.75000000e-01
-1.05481375e-06,3.94218750e-01
-1.05465375e-06,3.82968750e-01
-1.05449375e-06,3.51562500e-01
-1.05433375e-06,3.25312500e-01
-1.05417375e-06,3.15937500e-01
-1.05401375e-06,3.26250000e-01
-1.05385375e-06,3.39375000e-01
-1.05369375e-06,3.34218750e-01
-1.05353375e-06,3.29531250e-01
-1.05337375e-06,3.49687500e-01
-1.05321375e-06,3.67031250e-01
-1.05305375e-06,3.45000000e-01
-1.05289375e-06,3.03281250e-01
-1.05273375e-06,2.85937500e-01
-1.05257375e-06,2.93437500e-01
-1.05241375e-06,3.00468750e-01
-1.05225375e-06,2.96718750e-01
-1.05209375e-06,2.92500000e-01
-1.05193375e-06,3.01406250e-01
-1.05177375e-06,3.22968750e-01
-1.05161375e-06,3.42656250e-01
-1.05145375e-06,3.50156250e-01
-1.05129375e-06,3.37031250e-01
-1.05113375e-06,3.07968750e-01
-1.05097375e-06,2.88281250e-01
-1.05081375e-06,2.82187500e-01
-1.05065375e-06,2.65312500e-01
-1.05049375e-06,2.36718750e-01
-1.05033375e-06,2.28281250e-01
-1.05017375e-06,2.62968750e-01
-1.05001375e-06,3.22031250e-01
-1.04985375e-06,3.61406250e-01
-1.04969375e-06,3.60468750e-01
-1.04953375e-06,3.36562500e-01
-1.04937375e-06,3.07500000e-01
-1.04921375e-06,2.80781250e-01
-1.04905375e-06,2.62968750e-01
-1.04889375e-06,2.60156250e-01
-1.04873375e-06,2.72812500e-01
-1.04857375e-06,2.85000000e-01
-1.04841375e-06,2.85000000e-01
-1.04825375e-06,2.90156250e-01
-1.04809375e-06,3.10312500e-01
-1.04793375e-06,3.17812500e-01
-1.04777375e-06,2.99062500e-01
-1.04761375e-06,2.76562500e-01
-1.04745375e-06,2.74218750e-01
-1.04729375e-06,2.92968750e-01
-1.04713375e-06,3.11718750e-01
-1.04697375e-06,3.19687500e-01
-1.04681375e-06,3.24843750e-01
-1.04665375e-06,3.34687500e-01
-1.04649375e-06,3.39375000e-01
-1.04633375e-06,3.29531250e-01
-1.04617375e-06,3.18750000e-01
-1.04601375e-06,3.21562500e-01
-1.04585375e-06,3.28125000e-01
-1.04569375e-06,3.27187500e-01
-1.04553375e-06,3.21093750e-01
-1.04537375e-06,3.09843750e-01
-1.04521375e-06,2.96718750e-01
-1.04505375e-06,2.93906250e-01
-1.04489375e-06,3.04218750e-01
-1.04473375e-06,3.07031250e-01
-1.04457375e-06,2.90625000e-01
-1.04441375e-06,2.70000000e-01
-1.04425375e-06,2.65781250e-01
-1.04409375e-06,2.82656250e-01
-1.04393375e-06,3.09843750e-01
-1.04377375e-06,3.41250000e-01
-1.04361375e-06,3.73125000e-01
-1.04345375e-06,3.82031250e-01
-1.04329375e-06,3.54843750e-01
-1.04313375e-06,3.19218750e-01
-1.04297375e-06,3.04218750e-01
-1.04281375e-06,3.05156250e-01
-1.04265375e-06,3.02812500e-01
-1.04249375e-06,2.88750000e-01
-1.04233375e-06,2.76562500e-01
-1.04217375e-06,2.77500000e-01
-1.04201375e-06,2.77500000e-01
-1.04185375e-06,2.75625000e-01
-1.04169375e-06,2.93906250e-01
-1.04153375e-06,3.19218750e-01
-1.04137375e-06,3.15000000e-01
-1.04121375e-06,2.99531250e-01
-1.04105375e-06,3.19218750e-01
-1.04089375e-06,3.62812500e-01
-1.04073375e-06,3.91406250e-01
-1.04057375e-06,3.97500000e-01
-1.04041375e-06,3.77812500e-01
-1.04025375e-06,3.24375000e-01
-1.04009375e-06,2.71875000e-01
-1.03993375e-06,2.69062500e-01
-1.03977375e-06,3.00000000e-01
-1.03961375e-06,3.08906250e-01
-1.03945375e-06,2.91093750e-01
-1.03929375e-06,2.91562500e-01
-1.03913375e-06,3.28125000e-01
-1.03897375e-06,3.70781250e-01
-1.03881375e-06,3.82968750e-01
-1.03865375e-06,3.61406250e-01
-1.03849375e-06,3.36562500e-01
-1.03833375e-06,3.22968750e-01
-1.03817375e-06,3.00468750e-01
-1.03801375e-06,2.72343750e-01
-1.03785375e-06,2.71406250e-01
-1.03769375e-06,2.95312500e-01
-1.03753375e-06,3.22500000e-01
-1.03737375e-06,3.32812500e-01
-1.03721375e-06,3.14531250e-01
-1.03705375e-06,2.92031250e-01
-1.03689375e-06,2.85937500e-01
-1.03673375e-06,2.82187500e-01
-1.03657375e-06,2.77500000e-01
-1.03641375e-06,2.94843750e-01
