Model,MSO68B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-10,,Sample Interval,1.60000000e-10
Record Length,13750,,Record Length,13750
Zero Index,7287.21484375,,Zero Index,7287.21484375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,-2.580000,,yPosition,-3.620000

Labels,,
TIME,CH1,CH2
-1.15059437e-06,-5.97281250e-01,-2.83593750e-01
-1.15043437e-06,-6.18843750e-01,-2.96875000e-01
-1.15027437e-06,-6.39687500e-01,-2.70312500e-01
-1.15011437e-06,-6.61250000e-01,-1.73437500e-01
-1.14995437e-06,-6.81375000e-01,-1.13281250e-01
-1.14979438e-06,-7.00781250e-01,-2.41406250e-01
-1.14963437e-06,-7.19468750e-01,-3.22656250e-01
-1.14947437e-06,-7.36718750e-01,-2.07812500e-01
-1.14931437e-06,-7.52531250e-01,-9.37500000e-02
-1.14915437e-06,-7.65468750e-01,-1.14062500e-01
-1.14899437e-06,-7.75531250e-01,-2.11718750e-01
-1.14883437e-06,-7.82000000e-01,-2.28906250e-01
-1.14867438e-06,-7.85593750e-01,-1.69531250e-01
-1.14851437e-06,-7.85593750e-01,-2.22656250e-01
-1.14835437e-06,-7.82718750e-01,-3.27343750e-01
-1.14819437e-06,-7.77687500e-01,-2.55468750e-01
-1.14803437e-06,-7.69062500e-01,-1.41406250e-01
-1.14787437e-06,-7.59718750e-01,-2.07812500e-01
-1.14771437e-06,-7.49656250e-01,-3.43750000e-01
-1.14755438e-06,-7.38875000e-01,-3.07031250e-01
-1.14739437e-06,-7.28093750e-01,-2.42968750e-01
-1.14723437e-06,-7.17312500e-01,-2.57812500e-01
-1.14707437e-06,-7.06531250e-01,-2.78125000e-01
-1.14691437e-06,-6.95750000e-01,-2.98437500e-01
-1.14675437e-06,-6.84250000e-01,-3.34375000e-01
-1.14659437e-06,-6.71312500e-01,-3.04687500e-01
-1.14643438e-06,-6.56218750e-01,-1.66406250e-01
-1.14627437e-06,-6.39687500e-01,-1.44531250e-01
-1.14611437e-06,-6.21000000e-01,-2.44531250e-01
-1.14595437e-06,-6.00875000e-01,-3.10937500e-01
-1.14579437e-06,-5.79312500e-01,-2.92187500e-01
-1.14563437e-06,-5.58468750e-01,-2.60937500e-01
-1.14547437e-06,-5.37625000e-01,-2.23437500e-01
-1.14531438e-06,-5.18937500e-01,-2.22656250e-01
-1.14515437e-06,-5.01687500e-01,-3.20312500e-01
-1.14499437e-06,-4.86593750e-01,-3.67187500e-01
-1.14483437e-06,-4.72937500e-01,-3.42187500e-01
-1.14467437e-06,-4.60718750e-01,-3.35156250e-01
-1.14451437e-06,-4.49218750e-01,-2.79687500e-01
-1.14435437e-06,-4.37718750e-01,-2.49218750e-01
-1.14419438e-06,-4.24781250e-01,-2.21875000e-01
-1.14403437e-06,-4.11843750e-01,-1.69531250e-01
-1.14387437e-06,-3.97468750e-01,-1.61718750e-01
-1.14371437e-06,-3.82375000e-01,-2.17187500e-01
-1.14355437e-06,-3.67281250e-01,-2.67187500e-01
-1.14339437e-06,-3.52906250e-01,-2.32031250e-01
-1.14323437e-06,-3.38531250e-01,-2.21875000e-01
-1.14307438e-06,-3.25593750e-01,-2.58593750e-01
-1.14291437e-06,-3.14093750e-01,-2.54687500e-01
-1.14275437e-06,-3.04750000e-01,-2.17968750e-01
-1.14259437e-06,-2.96125000e-01,-1.95312500e-01
-1.14243437e-06,-2.89656250e-01,-2.41406250e-01
-1.14227437e-06,-2.83906250e-01,-2.65625000e-01
-1.14211437e-06,-2.79593750e-01,-2.29687500e-01
-1.14195438e-06,-2.77437500e-01,-1.98437500e-01
-1.14179437e-06,-2.76000000e-01,-2.57031250e-01
-1.14163437e-06,-2.76000000e-01,-3.57812500e-01
-1.14147437e-06,-2.76718750e-01,-3.69531250e-01
-1.14131437e-06,-2.78156250e-01,-3.03125000e-01
-1.14115437e-06,-2.80312500e-01,-2.64843750e-01
-1.14099437e-06,-2.82468750e-01,-2.97656250e-01
-1.14083438e-06,-2.84625000e-01,-2.75781250e-01
-1.14067437e-06,-2.87500000e-01,-2.11718750e-01
-1.14051437e-06,-2.91812500e-01,-2.07812500e-01
-1.14035437e-06,-2.98281250e-01,-1.87500000e-01
-1.14019437e-06,-3.07625000e-01,-1.75000000e-01
-1.14003437e-06,-3.19843750e-01,-2.07812500e-01
-1.13987437e-06,-3.36375000e-01,-2.66406250e-01
-1.13971438e-06,-3.56500000e-01,-3.10156250e-01
-1.13955437e-06,-3.78781250e-01,-3.94531250e-01
-1.13939437e-06,-4.04656250e-01,-3.57812500e-01
-1.13923437e-06,-4.31250000e-01,-1.92187500e-01
-1.13907437e-06,-4.58562500e-01,-1.57031250e-01
-1.13891437e-06,-4.85156250e-01,-2.14062500e-01
-1.13875437e-06,-5.11031250e-01,-2.35156250e-01
-1.13859438e-06,-5.34031250e-01,-1.83593750e-01
-1.13843437e-06,-5.56312500e-01,-1.33593750e-01
-1.13827437e-06,-5.76437500e-01,-1.50781250e-01
-1.13811437e-06,-5.94406250e-01,-2.29687500e-01
-1.13795437e-06,-6.11656250e-01,-2.67187500e-01
-1.13779437e-06,-6.27468750e-01,-2.39843750e-01
-1.13763437e-06,-6.43281250e-01,-2.93750000e-01
-1.13747438e-06,-6.57656250e-01,-3.76562500e-01
-1.13731437e-06,-6.72031250e-01,-3.81250000e-01
-1.13715437e-06,-6.84968750e-01,-3.10937500e-01
-1.13699437e-06,-6.97187500e-01,-3.03125000e-01
-1.13683437e-06,-7.07968750e-01,-3.25000000e-01
-1.13667437e-06,-7.17312500e-01,-3.15625000e-01
-1.13651437e-06,-7.24500000e-01,-3.21093750e-01
-1.13635438e-06,-7.30968750e-01,-2.54687500e-01
-1.13619437e-06,-7.35281250e-01,-1.96875000e-01
-1.13603437e-06,-7.37437500e-01,-2.32812500e-01
-1.13587437e-06,-7.39593750e-01,-2.83593750e-01
-1.13571437e-06,-7.39593750e-01,-2.71875000e-01
-1.13555437e-06,-7.38875000e-01,-2.34375000e-01
-1.13539437e-06,-7.37437500e-01,-1.98437500e-01
-1.13523438e-06,-7.35281250e-01,-1.94531250e-01
-1.13507437e-06,-7.32406250e-01,-2.79687500e-01
-1.13491437e-06,-7.28812500e-01,-3.64843750e-01
-1.13475437e-06,-7.25218750e-01,-3.26562500e-01
-1.13459437e-06,-7.20187500e-01,-2.40625000e-01
-1.13443437e-06,-7.14437500e-01,-2.51562500e-01
-1.13427437e-06,-7.07968750e-01,-2.82812500e-01
-1.13411438e-06,-7.00781250e-01,-3.39843750e-01
-1.13395437e-06,-6.94312500e-01,-3.60156250e-01
-1.13379437e-06,-6.86406250e-01,-2.64843750e-01
