Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.79687500
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-2.86687500e-07,3.95312500e-02
-2.86527500e-07,-6.87500000e-03
-2.86367500e-07,-1.65625000e-02
-2.86207500e-07,1.76562500e-02
-2.86047500e-07,8.90625000e-03
-2.85887500e-07,-1.40625000e-03
-2.85727500e-07,3.18750000e-02
-2.85567500e-07,2.51562500e-02
-2.85407500e-07,-1.71875000e-02
-2.85247500e-07,-1.56250000e-03
-2.85087500e-07,3.04687500e-02
-2.84927500e-07,7.03125000e-03
-2.84767500e-07,-9.21875000e-03
-2.84607500e-07,1.79687500e-02
-2.84447500e-07,2.57812500e-02
-2.84287500e-07,5.00000000e-03
-2.84127500e-07,-1.87500000e-03
-2.83967500e-07,4.21875000e-03
-2.83807500e-07,8.59375000e-03
-2.83647500e-07,1.56250000e-04
-2.83487500e-07,-2.75000000e-02
-2.83327500e-07,-2.98437500e-02
-2.83167500e-07,1.42187500e-02
-2.83007500e-07,2.93750000e-02
-2.82847500e-07,-3.90625000e-03
-2.82687500e-07,0.00000000e+00
-2.82527500e-07,3.18750000e-02
-2.82367500e-07,4.84375000e-03
-2.82207500e-07,-3.65625000e-02
-2.82047500e-07,-1.28125000e-02
-2.81887500e-07,1.46875000e-02
-2.81727500e-07,-1.32812500e-02
-2.81567500e-07,-3.65625000e-02
-2.81407500e-07,-1.65625000e-02
-2.81247500e-07,4.21875000e-03
-2.81087500e-07,-1.56250000e-03
-2.80927500e-07,-2.57812500e-02
-2.80767500e-07,-4.09375000e-02
-2.80607500e-07,-1.23437500e-02
-2.80447500e-07,3.01562500e-02
-2.80287500e-07,1.31250000e-02
-2.80127500e-07,-2.90625000e-02
-2.79967500e-07,-7.65625000e-03
-2.79807500e-07,2.59375000e-02
-2.79647500e-07,-1.09375000e-02
-2.79487500e-07,-3.92187500e-02
-2.79327500e-07,5.31250000e-03
-2.79167500e-07,2.12500000e-02
