Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,2024.71484375
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.23954375e-07,1.17187500e-02
-3.23794375e-07,-5.03125000e-02
-3.23634375e-07,-6.29687500e-02
-3.23474375e-07,-6.40625000e-03
-3.23314375e-07,-5.00000000e-03
-3.23154375e-07,-5.90625000e-02
-3.22994375e-07,-4.62500000e-02
-3.22834375e-07,1.71875000e-03
-3.22674375e-07,-1.73437500e-02
-3.22514375e-07,-4.39062500e-02
-3.22354375e-07,-8.75000000e-03
-3.22194375e-07,1.35937500e-02
-3.22034375e-07,-1.87500000e-02
-3.21874375e-07,-3.93750000e-02
-3.21714375e-07,-2.59375000e-02
-3.21554375e-07,-1.56250000e-02
-3.21394375e-07,-1.67187500e-02
-3.21234375e-07,-2.59375000e-02
-3.21074375e-07,-4.12500000e-02
-3.20914375e-07,-3.57812500e-02
-3.20754375e-07,-2.15625000e-02
-3.20594375e-07,-3.67187500e-02
-3.20434375e-07,-3.82812500e-02
-3.20274375e-07,-2.50000000e-03
-3.20114375e-07,-1.50000000e-02
-3.19954375e-07,-6.51562500e-02
-3.19794375e-07,-4.20312500e-02
-3.19634375e-07,4.68750000e-03
-3.19474375e-07,-2.48437500e-02
-3.19314375e-07,-6.12500000e-02
-3.19154375e-07,-4.18750000e-02
-3.18994375e-07,-2.26562500e-02
-3.18834375e-07,-4.00000000e-02
-3.18674375e-07,-7.79687500e-02
-3.18514375e-07,-9.32812500e-02
-3.18354375e-07,-5.17187500e-02
-3.18194375e-07,-1.85937500e-02
-3.18034375e-07,-5.20312500e-02
-3.17874375e-07,-6.53125000e-02
-3.17714375e-07,-1.35937500e-02
-3.17554375e-07,-2.81250000e-03
-3.17394375e-07,-5.79687500e-02
-3.17234375e-07,-7.07812500e-02
-3.17074375e-07,-2.98437500e-02
-3.16914375e-07,-2.92187500e-02
-3.16754375e-07,-6.17187500e-02
-3.16594375e-07,-4.85937500e-02
-3.16434375e-07,-2.04687500e-02
-3.16274375e-07,-4.93750000e-02
-3.16114375e-07,-8.78125000e-02
-3.15954375e-07,-7.12500000e-02
-3.15794375e-07,-4.84375000e-02
-3.15634375e-07,-6.50000000e-02
-3.15474375e-07,-8.06250000e-02
-3.15314375e-07,-6.42187500e-02
-3.15154375e-07,-4.34375000e-02
-3.14994375e-07,-5.40625000e-02
-3.14834375e-07,-8.46875000e-02
-3.14674375e-07,-8.20312500e-02
-3.14514375e-07,-4.71875000e-02
-3.14354375e-07,-4.29687500e-02
-3.14194375e-07,-6.84375000e-02
-3.14034375e-07,-6.54687500e-02
-3.13874375e-07,-3.93750000e-02
-3.13714375e-07,-4.17187500e-02
-3.13554375e-07,-7.04687500e-02
-3.13394375e-07,-7.56250000e-02
-3.13234375e-07,-4.76562500e-02
-3.13074375e-07,-4.48437500e-02
-3.12914375e-07,-7.95312500e-02
-3.12754375e-07,-8.01562500e-02
-3.12594375e-07,-4.25000000e-02
-3.12434375e-07,-4.51562500e-02
-3.12274375e-07,-7.96875000e-02
-3.12114375e-07,-7.54687500e-02
-3.11954375e-07,-4.98437500e-02
-3.11794375e-07,-5.57812500e-02
-3.11634375e-07,-7.28125000e-02
-3.11474375e-07,-5.96875000e-02
-3.11314375e-07,-3.96875000e-02
-3.11154375e-07,-5.21875000e-02
-3.10994375e-07,-7.09375000e-02
-3.10834375e-07,-5.87500000e-02
-3.10674375e-07,-3.87500000e-02
-3.10514375e-07,-3.98437500e-02
-3.10354375e-07,-5.03125000e-02
-3.10194375e-07,-4.76562500e-02
-3.10034375e-07,-3.04687500e-02
-3.09874375e-07,-3.48437500e-02
