Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.69140625
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.11950625e-07,-5.64062500e-02
-3.11790625e-07,-3.78125000e-02
-3.11630625e-07,-1.25000000e-03
-3.11470625e-07,-2.46875000e-02
-3.11310625e-07,-6.25000000e-02
-3.11150625e-07,-2.76562500e-02
-3.10990625e-07,-4.37500000e-03
-3.10830625e-07,-5.65625000e-02
-3.10670625e-07,-7.09375000e-02
-3.10510625e-07,-2.23437500e-02
-3.10350625e-07,-1.81250000e-02
-3.10190625e-07,-4.40625000e-02
-3.10030625e-07,-3.20312500e-02
-3.09870625e-07,-2.29687500e-02
-3.09710625e-07,-4.34375000e-02
-3.09550625e-07,-4.89062500e-02
-3.09390625e-07,-3.15625000e-02
-3.09230625e-07,-2.03125000e-02
-3.09070625e-07,-2.76562500e-02
-3.08910625e-07,-4.56250000e-02
-3.08750625e-07,-4.28125000e-02
-3.08590625e-07,-1.79687500e-02
-3.08430625e-07,-2.17187500e-02
-3.08270625e-07,-5.73437500e-02
-3.08110625e-07,-5.68750000e-02
-3.07950625e-07,-1.57812500e-02
-3.07790625e-07,-1.29687500e-02
-3.07630625e-07,-5.32812500e-02
-3.07470625e-07,-5.59375000e-02
-3.07310625e-07,-2.31250000e-02
-3.07150625e-07,-3.32812500e-02
-3.06990625e-07,-6.84375000e-02
-3.06830625e-07,-5.82812500e-02
-3.06670625e-07,-3.39062500e-02
-3.06510625e-07,-4.43750000e-02
-3.06350625e-07,-5.48437500e-02
-3.06190625e-07,-3.85937500e-02
-3.06030625e-07,-2.54687500e-02
-3.05870625e-07,-3.71875000e-02
-3.05710625e-07,-6.46875000e-02
-3.05550625e-07,-7.17187500e-02
-3.05390625e-07,-4.29687500e-02
-3.05230625e-07,-3.85937500e-02
-3.05070625e-07,-8.51562500e-02
-3.04910625e-07,-9.62500000e-02
-3.04750625e-07,-4.78125000e-02
-3.04590625e-07,-4.04687500e-02
-3.04430625e-07,-8.10937500e-02
-3.04270625e-07,-6.98437500e-02
-3.04110625e-07,-2.81250000e-02
-3.03950625e-07,-4.78125000e-02
-3.03790625e-07,-8.57812500e-02
-3.03630625e-07,-6.12500000e-02
-3.03470625e-07,-2.56250000e-02
-3.03310625e-07,-4.89062500e-02
-3.03150625e-07,-8.84375000e-02
-3.02990625e-07,-8.62500000e-02
-3.02830625e-07,-6.56250000e-02
-3.02670625e-07,-6.79687500e-02
-3.02510625e-07,-8.60937500e-02
-3.02350625e-07,-8.31250000e-02
-3.02190625e-07,-5.42187500e-02
-3.02030625e-07,-4.18750000e-02
-3.01870625e-07,-6.62500000e-02
-3.01710625e-07,-8.48437500e-02
-3.01550625e-07,-7.00000000e-02
-3.01390625e-07,-5.95312500e-02
-3.01230625e-07,-8.09375000e-02
-3.01070625e-07,-8.78125000e-02
-3.00910625e-07,-4.92187500e-02
-3.00750625e-07,-2.95312500e-02
-3.00590625e-07,-6.34375000e-02
-3.00430625e-07,-7.79687500e-02
-3.00270625e-07,-5.29687500e-02
-3.00110625e-07,-6.03125000e-02
-2.99950625e-07,-8.98437500e-02
-2.99790625e-07,-7.20312500e-02
-2.99630625e-07,-3.14062500e-02
-2.99470625e-07,-3.10937500e-02
-2.99310625e-07,-6.37500000e-02
-2.99150625e-07,-8.04687500e-02
-2.98990625e-07,-6.14062500e-02
-2.98830625e-07,-4.65625000e-02
-2.98670625e-07,-6.93750000e-02
-2.98510625e-07,-7.92187500e-02
-2.98350625e-07,-4.37500000e-02
-2.98190625e-07,-3.10937500e-02
-2.98030625e-07,-6.17187500e-02
-2.97870625e-07,-6.04687500e-02
